Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_3N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),
4,0.144,4,3.012628,0.4677829,0.155274,99.26376,0,-9.33,-114.6078,
4,0.244,4,3.031124,0.4963311,0.1637449,114.56,0,-9.33,-114.6077,
4,0.344,4,3.033155,0.4652012,0.153372,118.3475,0,-9.33,-114.6079,
4,0.444,4,3.032276,0.4584465,0.1511889,119.7663,0,-9.33,-114.6078,
4,0.544,4,3.036205,0.4619765,0.1521559,119.2587,0,-9.33,-114.6077,
4,0.644,4,3.020118,0.4184414,0.1385514,119.27,0,-9.33,-114.6077,
4,0.744,4,3.021768,0.457547,0.151417,119.17,0,-9.33,-114.608,
4,0.844,4,3.027304,0.4402122,0.145414,119.7588,0,-9.33,-114.6081,
4,0.944,4,3.023331,0.4228774,0.1398713,119.6463,0,-9.33,-114.6079,
4,1.044,4,3.028065,0.4369161,0.1442888,119.0625,0,-9.33,-114.6077,
4,1.144,4,3.013582,0.3840479,0.127439,119.315,0,-9.33,-114.6077,
4,1.244,4,3.017288,0.4568878,0.1514233,119.2162,0,-9.33,-114.6077,
4,1.344,4,3.022932,0.4659871,0.1541507,119.6262,0,-9.33,-114.6076,
4,1.444,4,3.018697,0.4452944,0.1475122,119.84,0,-9.33,-114.6076,
4,1.544,4,3.024994,0.4671107,0.1544171,119.08,0,-9.33,-114.6076,
4,1.644,4,3.0113,0.4040423,0.1341754,119.2138,0,-9.33,-114.6075,
4,1.744,4,3.013541,0.4590441,0.1523271,119.0938,0,-9.33,-114.6073,
4,1.844,4,3.017885,0.4799316,0.1590291,119.7225,0,-9.33,-114.6072,
4,1.944,4,3.01426,0.4597975,0.1525408,119.3863,0,-9.33,-114.6069,
4,2.044,4,3.01839,0.4837181,0.160257,119.1325,0,-9.33,-114.6068,
4,2.144,4,3.004662,0.4323437,0.143891,119.42,0,-9.33,-114.6065,
4,2.244,4,3.006123,0.4621421,0.1537336,119.1125,0,-9.33,-114.6065,
4,2.344,4,3.013814,0.489807,0.1625206,119.7287,0,-9.33,-114.6065,
4,2.444,4,3.007811,0.4688123,0.155865,119.75,0,-9.33,-114.6063,
4,2.544,4,3.014034,0.4878228,0.1618505,119.1288,0,-9.33,-114.6061,
4,2.644,4,3.001928,0.4554232,0.1517102,119.3375,0,-9.33,-114.6062,
4,2.744,4,3.003303,0.4645355,0.1546749,119.1488,0,-9.33,-114.6062,
4,2.844,4,3.009315,0.4887906,0.1624258,119.8175,0,-9.33,-114.6062,
4,2.944,4,3.005275,0.4783111,0.1591572,119.3,0,-9.33,-114.6061,
4,3.044,4,3.011733,0.4928986,0.1636594,119.8962,0,-9.33,-114.6061,
4,3.144,4,2.998993,0.4704653,0.1568744,119.1675,0,-9.33,-114.6059,
4,3.244,4,2.999584,0.4691923,0.1564191,119.22,0,-9.33,-114.6056,
4,3.344,4,3.005501,0.494204,0.1644332,119.9963,0,-9.33,-114.6057,
4,3.444,4,3.003095,0.4737452,0.1577523,119.5438,0,-9.33,-114.6058,
4,3.544,4,3.009721,0.4951945,0.1645317,119.24,0,-9.33,-114.6058,
4,3.644,4,2.996699,0.4788469,0.1597915,119.2275,0,-9.33,-114.6058,
4,3.744,4,2.999089,0.4747097,0.1582846,119.5362,0,-9.33,-114.6059,
4,3.844,4,3.006061,0.4959609,0.164987,119.9963,0,-9.33,-114.606,
4,3.944,4,3.001287,0.473336,0.157711,119.4312,0,-9.33,-114.6059,
4,4.044,4,3.008854,0.4962499,0.1649299,119.0187,0,-9.33,-114.6058,
4,4.144,4,2.994912,0.4811818,0.1606664,119.1362,0,-9.33,-114.6058,
4,4.244,4,2.997891,0.4771972,0.1591777,119.2038,0,-9.33,-114.606,
4,4.344,4,3.005021,0.4906968,0.1632923,119.775,0,-9.33,-114.6063,
4,4.444,4,3.002903,0.4799413,0.1598258,119.02,0,-9.33,-114.6065,
4,4.544,4,3.011297,0.5007866,0.1663026,119.2813,0,-9.33,-114.6064,
4,4.644,4,2.996767,0.4798082,0.1601086,119.0337,0,-9.33,-114.6062,
4,4.744,4,2.998411,0.4825815,0.1609458,119.6575,0,-9.33,-114.6065,
4,4.844,4,3.006922,0.4983153,0.1657227,119.9387,0,-9.33,-114.6066,
4,4.944,4,3.003912,0.4754111,0.158264,119.145,0,-9.33,-114.6068,
4,5.044,4,3.010724,0.5012087,0.1664745,119.2337,0,-9.33,-114.6068,
4,5.144,4,2.999222,0.4820976,0.1607409,119.23,0,-9.33,-114.6068,
4,5.244,4,3.000052,0.4839616,0.1613178,119.4487,0,-9.33,-114.6067,
4,5.344,4,3.006092,0.501514,0.1668325,119.935,0,-9.33,-114.6067,
4,5.444,4,3.002578,0.4767523,0.158781,119.1825,0,-9.33,-114.607,
4,5.544,4,3.013359,0.4986335,0.1654743,119.2262,0,-9.33,-114.6072,
4,5.644,4,3.000163,0.4880859,0.1626865,119.0687,0,-9.33,-114.607,
