Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_3N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),
4,0.108,4,3.008201,0.4779474,0.1588815,305.3488,0,-9.33,-114.5736,
4,0.208,4,3.020235,0.5811605,0.1924223,446.8687,0,-9.33,-114.5737,
4,0.308,4,3.012956,0.5603835,0.1859912,468.6438,0,-9.33,-114.5739,
4,0.408,4,3.009253,0.5586201,0.1856341,475.5437,0,-9.33,-114.5739,
4,0.508,4,3.005925,0.5586591,0.1858526,477.3825,0,-9.33,-114.5738,
4,0.608,4,3.006835,0.5616922,0.1868051,477.4913,0,-9.33,-114.5739,
4,0.708,4,3.006355,0.5715352,0.190109,477.2287,0,-9.33,-114.5739,
4,0.808,4,3.003061,0.5734057,0.1909404,477.37,0,-9.33,-114.5737,
4,0.908,4,3.00151,0.5837682,0.1944915,477.48,0,-9.33,-114.5737,
4,1.008,4,3.002002,0.5817906,0.1938008,477.5925,0,-9.33,-114.574,
4,1.108,4,3.000835,0.5867884,0.1955417,477.2225,0,-9.33,-114.5739,
4,1.208,4,3.003108,0.5885582,0.1959831,477.4325,0,-9.33,-114.574,
4,1.308,4,3.00099,0.5876359,0.195814,477.5663,0,-9.33,-114.574,
4,1.408,4,2.999795,0.5921304,0.1973903,477.8363,0,-9.33,-114.5738,
4,1.508,4,2.997878,0.5868241,0.1957465,477.0512,0,-9.33,-114.5737,
4,1.608,4,3.000203,0.5926142,0.1975247,477.6787,0,-9.33,-114.5738,
4,1.708,4,3.000934,0.5895324,0.1964496,477.6525,0,-9.33,-114.5742,
4,1.808,4,3.000101,0.5915946,0.1971916,477.575,0,-9.33,-114.5741,
4,1.908,4,2.998776,0.5936534,0.1979652,477.2362,0,-9.33,-114.5741,
4,2.008,4,2.999061,0.5896851,0.1966233,477.3662,0,-9.33,-114.5742,
4,2.108,4,2.998445,0.595485,0.1985979,477.45,0,-9.33,-114.5739,
4,2.208,4,2.999946,0.5919907,0.1973338,477.6525,0,-9.33,-114.5738,
4,2.308,4,2.995887,0.5943679,0.1983946,477.21,0,-9.33,-114.5738,
4,2.408,4,2.997597,0.5992293,0.1999032,477.74,0,-9.33,-114.5738,
4,2.508,4,2.994479,0.5918673,0.1976529,477.47,0,-9.33,-114.5737,
4,2.608,4,2.998141,0.5986739,0.1996817,477.1387,0,-9.33,-114.5738,
4,2.708,4,2.997045,0.5951148,0.1985672,477.77,0,-9.33,-114.5741,
4,2.808,4,2.996058,0.6000898,0.2002932,477.3637,0,-9.33,-114.574,
4,2.908,4,2.99607,0.5995215,0.2001026,477.4463,0,-9.33,-114.5739,
4,3.008,4,2.994095,0.5942185,0.1984635,477.3337,0,-9.33,-114.5739,
4,3.108,4,2.995116,0.6020091,0.2009969,477.485,0,-9.33,-114.5738,
4,3.208,4,2.997228,0.5946342,0.1983947,477.7737,0,-9.33,-114.5738,
4,3.308,4,2.993092,0.6012329,0.2008736,477.1487,0,-9.33,-114.5738,
4,3.408,4,2.994599,0.5991578,0.2000795,477.41,0,-9.33,-114.5738,
4,3.508,4,2.993838,0.5991091,0.2001141,477.7187,0,-9.33,-114.5741,
4,3.608,4,2.996869,0.6040679,0.2015664,477.3475,0,-9.33,-114.5741,
4,3.708,4,2.994305,0.5990896,0.2000763,477.1212,0,-9.33,-114.5739,
4,3.808,4,2.993664,0.6051363,0.202139,477.65,0,-9.33,-114.574,
4,3.908,4,2.994766,0.6011453,0.2007319,477.6125,0,-9.33,-114.5741,
4,4.008,4,2.992228,0.6023208,0.2012951,477.0187,0,-9.33,-114.5739,
4,4.108,4,2.994544,0.6064191,0.202508,477.5388,0,-9.33,-114.5738,
4,4.208,4,2.994116,0.5998333,0.2003374,477.4275,0,-9.33,-114.5738,
4,4.308,4,2.99215,0.6087053,0.2034341,477.5438,0,-9.33,-114.5738,
4,4.408,4,2.992937,0.6033438,0.2015892,477.495,0,-9.33,-114.5738,
4,4.508,4,2.992153,0.6028177,0.2014662,477.215,0,-9.33,-114.574,
4,4.608,4,2.995014,0.6089683,0.2033274,477.7263,0,-9.33,-114.5741,
4,4.708,4,2.992249,0.6014668,0.2010082,477.6288,0,-9.33,-114.5741,
4,4.808,4,2.991866,0.6105661,0.2040754,476.83,0,-9.33,-114.5741,
4,4.908,4,2.992256,0.6046622,0.2020757,477.985,0,-9.33,-114.5741,
4,5.008,4,2.991909,0.6032918,0.2016411,477.415,0,-9.33,-114.5742,
4,5.108,4,2.99438,0.6086955,0.2032793,477.2712,0,-9.33,-114.5742,
4,5.208,4,2.993698,0.6046979,0.2019903,477.6363,0,-9.33,-114.5742,
4,5.308,4,2.992317,0.6104881,0.2040185,477.33,0,-9.33,-114.5743,
4,5.408,4,2.991525,0.6056332,0.2024497,477.6212,0,-9.33,-114.5744,
4,5.508,4,2.993389,0.6064353,0.2025916,477.4312,0,-9.33,-114.5743,
4,5.608,4,2.99425,0.610933,0.2040354,477.225,0,-9.33,-114.5743,
4,5.708,4,2.991763,0.6052598,0.2023087,477.7875,0,-9.33,-114.5743,
4,5.808,4,2.991438,0.6121248,0.2046256,477.47,0,-9.33,-114.5741,
4,5.908,4,2.990076,0.6057793,0.2025966,477.1888,0,-9.33,-114.574,
4,6.008,4,2.99042,0.6134011,0.2051221,477.6387,0,-9.33,-114.5742,
4,6.108,4,2.992395,0.6092249,0.2035911,477.55,0,-9.33,-114.5742,
4,6.208,4,2.990599,0.6093547,0.2037567,477.175,0,-9.33,-114.5742,
4,6.308,4,2.99029,0.6118326,0.2046064,477.1888,0,-9.33,-114.5741,
4,6.408,4,2.989915,0.6066269,0.202891,477.635,0,-9.33,-114.5742,
4,6.508,4,2.992587,0.6136934,0.2050712,477.3025,0,-9.33,-114.5744,
4,6.608,4,2.992448,0.6090365,0.2035245,477.3888,0,-9.33,-114.5744,
4,6.708,4,2.990931,0.6104231,0.2040914,477.4225,0,-9.33,-114.5745,
4,6.808,4,2.991844,0.6129887,0.2048866,477.6025,0,-9.33,-114.5745,
4,6.908,4,2.989163,0.6087605,0.2036559,477.6375,0,-9.33,-114.5744,
4,7.008,4,2.99133,0.6137388,0.2051726,476.975,0,-9.33,-114.5744,
4,7.108,4,2.992234,0.6100822,0.2038885,477.9137,0,-9.33,-114.5742,
4,7.208,4,2.99002,0.612862,0.2049692,477.605,0,-9.33,-114.5742,
4,7.308,4,2.990051,0.6174994,0.206518,477.015,0,-9.33,-114.5743,
4,7.408,4,2.989776,0.6095626,0.2038824,477.16,0,-9.33,-114.5745,
4,7.508,4,2.993172,0.6184053,0.2066053,477.5412,0,-9.33,-114.5745,
4,7.608,4,2.991516,0.6110142,0.204249,477.63,0,-9.33,-114.5747,
