Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_9N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.COF (),DAQ.Fx (N),DAQ.Fz (N),Rotary.Velocity (rpm),XYZ.Z Position (mm),XYZ.Y Position (mm),XYZ.X Position (mm),
4,0.103,4,0.1116417,1.005594,9.007336,68.49125,-115.3861,-9.33,0,
4,0.203,4,0.1618598,1.461501,9.029427,111.1162,-115.386,-9.33,0,
4,0.303,4,0.1455549,1.316256,9.043025,117.4487,-115.3857,-9.33,0,
4,0.403,4,0.1502432,1.358223,9.040164,118.7513,-115.3857,-9.33,0,
4,0.503,4,0.1419928,1.284445,9.045845,119.6312,-115.3858,-9.33,0,
4,0.603,4,0.1340708,1.211361,9.035234,119.605,-115.3858,-9.33,0,
4,0.703,4,0.1479622,1.333669,9.01358,119.1087,-115.3858,-9.33,0,
4,0.803,4,0.140422,1.267723,9.027953,118.9063,-115.3858,-9.33,0,
4,0.903,4,0.1475797,1.331799,9.024268,119.45,-115.3856,-9.33,0,
4,1.003,4,0.1427944,1.289267,9.028832,119.4837,-115.3854,-9.33,0,
4,1.103,4,0.1286218,1.159999,9.018686,118.995,-115.3851,-9.33,0,
4,1.203,4,0.1471753,1.325044,9.003168,119.5337,-115.385,-9.33,0,
4,1.303,4,0.1418837,1.279418,9.017367,119.175,-115.3849,-9.33,0,
4,1.403,4,0.1489339,1.342885,9.016652,119.6162,-115.3848,-9.33,0,
4,1.503,4,0.1454195,1.311697,9.020092,119.8713,-115.3848,-9.33,0,
4,1.603,4,0.1366834,1.231576,9.010428,119.205,-115.3847,-9.33,0,
4,1.703,4,0.1456546,1.310638,8.99826,119.4212,-115.3846,-9.33,0,
4,1.803,4,0.1457325,1.313343,9.012017,119.1462,-115.3847,-9.33,0,
4,1.903,4,0.1495827,1.347731,9.009933,119.1725,-115.3848,-9.33,0,
4,2.003,4,0.1460784,1.317026,9.015887,119.7513,-115.3848,-9.33,0,
4,2.103,4,0.1426152,1.284724,9.008324,119.0125,-115.3847,-9.33,0,
4,2.203,4,0.146369,1.316578,8.994924,119.4613,-115.3848,-9.33,0,
4,2.303,4,0.1443855,1.300815,9.00932,119.14,-115.385,-9.33,0,
4,2.403,4,0.1510899,1.361425,9.010695,119.5912,-115.385,-9.33,0,
4,2.503,4,0.1458624,1.31485,9.014318,119.7112,-115.385,-9.33,0,
4,2.603,4,0.1460868,1.315821,9.007122,119.2212,-115.3851,-9.33,0,
4,2.703,4,0.1481418,1.332552,8.995112,119.2862,-115.385,-9.33,0,
4,2.803,4,0.1429963,1.288202,9.008636,119.2225,-115.385,-9.33,0,
4,2.903,4,0.1500613,1.351501,9.006327,119.4262,-115.385,-9.33,0,
4,3.003,4,0.14541,1.310612,9.013218,119.2725,-115.385,-9.33,0,
4,3.103,4,0.1470447,1.324508,9.007522,119.1613,-115.3853,-9.33,0,
4,3.203,4,0.1482616,1.333741,8.995858,119.2838,-115.3853,-9.33,0,
4,3.303,4,0.1451436,1.306985,9.004769,118.9425,-115.3852,-9.33,0,
4,3.403,4,0.149876,1.349932,9.006992,119.7738,-115.3852,-9.33,0,
4,3.503,4,0.1447283,1.304143,9.010977,119.49,-115.3853,-9.33,0,
4,3.603,4,0.1474282,1.327502,9.004397,119.24,-115.3854,-9.33,0,
4,3.703,4,0.1491972,1.341765,8.993233,119.4825,-115.3854,-9.33,0,
4,3.803,4,0.1427743,1.286361,9.00975,119.09,-115.3855,-9.33,0,
4,3.903,4,0.1490968,1.342665,9.005323,118.9938,-115.3854,-9.33,0,
4,4.003,4,0.1448821,1.305809,9.012912,119.665,-115.3852,-9.33,0,
