Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_9N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Position (rev),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Z Position (mm),XYZ.Y Position (mm),
4,0.188,4,9.003803,1.40862,0.1564472,0.6825,437.3475,0,-115.3776,-9.33,
4,0.288,4,8.99745,1.388856,0.1543611,1.405,466.6825,0,-115.3777,-9.33,
4,0.388,4,9.000484,1.378484,0.1531566,2.1625,475.1525,0,-115.3779,-9.33,
4,0.488,4,8.992799,1.420739,0.1579863,3.12125,476.9112,0,-115.3779,-9.33,
4,0.588,4,8.986641,1.441929,0.1604525,3.8875,477.1875,0,-115.3778,-9.33,
4,0.688,4,8.987963,1.430336,0.159139,4.63125,477.385,0,-115.3781,-9.33,
4,0.788,4,8.989703,1.455513,0.1619089,5.39625,477.3362,0,-115.3783,-9.33,
4,0.888,4,8.990954,1.439763,0.1601346,6.16875,477.6237,0,-115.3783,-9.33,
4,0.988,4,8.987632,1.456763,0.1620853,6.93375,477.15,0,-115.3782,-9.33,
4,1.088,4,8.984056,1.45864,0.1623588,7.87375,477.0912,0,-115.3782,-9.33,
4,1.188,4,8.986613,1.45044,0.1614001,8.65,477.61,0,-115.3782,-9.33,
4,1.288,4,8.983727,1.469682,0.1635937,9.415,477.1138,0,-115.3781,-9.33,
4,1.388,4,8.982202,1.449632,0.1613894,10.18,477.2475,0,-115.3781,-9.33,
4,1.488,4,8.980833,1.46532,0.1631608,10.9525,477.3862,0,-115.3781,-9.33,
4,1.588,4,8.976937,1.462664,0.1629357,11.6975,477.6725,0,-115.378,-9.33,
4,1.688,4,8.976189,1.457169,0.1623372,12.46375,477.6738,0,-115.3778,-9.33,
4,1.788,4,8.976343,1.471513,0.1639324,13.42875,476.86,0,-115.3776,-9.33,
4,1.888,4,8.978229,1.452106,0.1617364,14.20125,477.88,0,-115.3778,-9.33,
4,1.988,4,8.97591,1.473111,0.1641183,14.97625,477.61,0,-115.3779,-9.33,
4,2.088,4,8.97408,1.46217,0.1629326,15.7425,477.0363,0,-115.378,-9.33,
4,2.188,4,8.978293,1.464226,0.1630851,16.515,477.4538,0,-115.378,-9.33,
4,2.288,4,8.975879,1.473449,0.1641565,17.28125,477.205,0,-115.3778,-9.33,
4,2.388,4,8.97378,1.460917,0.1627984,18.2175,477.835,0,-115.3776,-9.33,
4,2.488,4,8.971284,1.48159,0.165148,19.03625,477.2825,0,-115.3778,-9.33,
4,2.588,4,8.97073,1.46698,0.1635296,19.8025,477.0825,0,-115.3779,-9.33,
4,2.688,4,8.971231,1.474267,0.1643327,20.57,477.7588,0,-115.3778,-9.33,
4,2.788,4,8.973993,1.478804,0.1647877,21.31,477.0575,0,-115.3778,-9.33,
4,2.888,4,8.973454,1.4739,0.1642511,22.07625,477.4437,0,-115.3781,-9.33,
4,2.988,4,8.972278,1.489572,0.1660194,22.85,477.7825,0,-115.3783,-9.33,
4,3.088,4,8.973538,1.474527,0.1643194,23.81125,477.4588,0,-115.3784,-9.33,
4,3.188,4,8.978539,1.485838,0.1654877,24.5675,477.2875,0,-115.3787,-9.33,
4,3.288,4,8.976711,1.489286,0.1659056,25.395,477.345,0,-115.3787,-9.33,
4,3.388,4,8.978703,1.480502,0.1648904,26.16125,477.8012,0,-115.3791,-9.33,
4,3.488,4,8.979706,1.468415,0.163526,26.92875,477.3788,0,-115.3794,-9.33,
4,3.588,4,8.978297,1.481272,0.1649836,27.67625,477.3912,0,-115.3797,-9.33,
4,3.688,4,8.980845,1.499555,0.1669725,28.4425,477.4225,0,-115.3799,-9.33,
4,3.788,4,8.986907,1.497509,0.1666323,29.20875,477.48,0,-115.3801,-9.33,
4,3.888,4,8.983377,1.491469,0.1660254,30.16875,477.78,0,-115.3799,-9.33,
4,3.988,4,8.980012,1.503208,0.1673949,30.92625,477.5763,0,-115.3799,-9.33,
4,4.088,4,8.983631,1.477816,0.164501,31.69125,477.6062,0,-115.38,-9.33,
4,4.188,4,8.984749,1.503189,0.1673045,32.45875,477.7175,0,-115.38,-9.33,
4,4.288,4,8.981991,1.491634,0.1660694,33.2325,477.0425,0,-115.38,-9.33,
4,4.388,4,8.982774,1.498629,0.1668337,33.99,477.6725,0,-115.3799,-9.33,
4,4.488,4,8.979733,1.5083,0.1679671,34.93375,477.5612,0,-115.38,-9.33,
4,4.588,4,8.981015,1.485406,0.1653939,35.70125,477.5975,0,-115.3801,-9.33,
