Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius
Rotary_9N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Position (rev),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Z Position (mm),XYZ.Y Position (mm),,DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step)
4,0.188,4,9.003803,1.40862,nan,0.6825,437.3475,0,-115.3776,-9.33,,nan,nan,nan
4,0.288,4,8.99745,1.388856,nan,1.405,466.6825,0,-115.3777,-9.33,,nan,nan,nan
4,0.388,4,9.000484,1.378484,nan,2.1625,475.1525,0,-115.3779,-9.33,,nan,nan,nan
4,0.488,4,8.992799,1.420739,nan,3.12125,476.9112,0,-115.3779,-9.33,,nan,nan,nan
4,0.588,4,8.986641,1.441929,nan,3.8875,477.1875,0,-115.3778,-9.33,,nan,nan,nan
4,0.688,4,8.987963,1.430336,nan,4.63125,477.385,0,-115.3781,-9.33,,nan,nan,nan
4,0.788,4,8.989703,1.455513,nan,5.39625,477.3362,0,-115.3783,-9.33,,nan,nan,nan
4,0.888,4,8.990954,1.439763,nan,6.16875,477.6237,0,-115.3783,-9.33,,nan,nan,nan
4,0.988,4,8.987632,1.456763,nan,6.93375,477.15,0,-115.3782,-9.33,,nan,nan,nan
4,1.088,4,8.984056,1.45864,nan,7.87375,477.0912,0,-115.3782,-9.33,,nan,nan,nan
4,1.188,4,8.986613,1.45044,nan,8.65,477.61,0,-115.3782,-9.33,,nan,nan,nan
4,1.288,4,8.983727,1.469682,nan,9.415,477.1138,0,-115.3781,-9.33,,nan,nan,nan
4,1.388,4,8.982202,1.449632,nan,10.18,477.2475,0,-115.3781,-9.33,,nan,nan,nan
4,1.488,4,8.980833,1.46532,nan,10.9525,477.3862,0,-115.3781,-9.33,,nan,nan,nan
4,1.588,4,8.976937,1.462664,nan,11.6975,477.6725,0,-115.378,-9.33,,nan,nan,nan
4,1.688,4,8.976189,1.457169,nan,12.46375,477.6738,0,-115.3778,-9.33,,nan,nan,nan
4,1.788,4,8.976343,1.471513,nan,13.42875,476.86,0,-115.3776,-9.33,,nan,nan,nan
4,1.888,4,8.978229,1.452106,nan,14.20125,477.88,0,-115.3778,-9.33,,nan,nan,nan
4,1.988,4,8.97591,1.473111,nan,14.97625,477.61,0,-115.3779,-9.33,,nan,nan,nan
4,2.088,4,8.97408,1.46217,nan,15.7425,477.0363,0,-115.378,-9.33,,nan,nan,nan
4,2.188,4,8.978293,1.464226,nan,16.515,477.4538,0,-115.378,-9.33,,nan,nan,nan
4,2.288,4,8.975879,1.473449,nan,17.28125,477.205,0,-115.3778,-9.33,,nan,nan,nan
4,2.388,4,8.97378,1.460917,nan,18.2175,477.835,0,-115.3776,-9.33,,nan,nan,nan
4,2.488,4,8.971284,1.48159,nan,19.03625,477.2825,0,-115.3778,-9.33,,nan,nan,nan
4,2.588,4,8.97073,1.46698,nan,19.8025,477.0825,0,-115.3779,-9.33,,nan,nan,nan
4,2.688,4,8.971231,1.474267,nan,20.57,477.7588,0,-115.3778,-9.33,,nan,nan,nan
4,2.788,4,8.973993,1.478804,nan,21.31,477.0575,0,-115.3778,-9.33,,nan,nan,nan
4,2.888,4,8.973454,1.4739,nan,22.07625,477.4437,0,-115.3781,-9.33,,nan,nan,nan
4,2.988,4,8.972278,1.489572,nan,22.85,477.7825,0,-115.3783,-9.33,,nan,nan,nan
4,3.088,4,8.973538,1.474527,nan,23.81125,477.4588,0,-115.3784,-9.33,,nan,nan,nan
4,3.188,4,8.978539,1.485838,nan,24.5675,477.2875,0,-115.3787,-9.33,,nan,nan,nan
4,3.288,4,8.976711,1.489286,nan,25.395,477.345,0,-115.3787,-9.33,,nan,nan,nan
4,3.388,4,8.978703,1.480502,nan,26.16125,477.8012,0,-115.3791,-9.33,,nan,nan,nan
4,3.488,4,8.979706,1.468415,nan,26.92875,477.3788,0,-115.3794,-9.33,,nan,nan,nan
4,3.588,4,8.978297,1.481272,nan,27.67625,477.3912,0,-115.3797,-9.33,,nan,nan,nan
4,3.688,4,8.980845,1.499555,nan,28.4425,477.4225,0,-115.3799,-9.33,,nan,nan,nan
4,3.788,4,8.986907,1.497509,nan,29.20875,477.48,0,-115.3801,-9.33,,nan,nan,nan
4,3.888,4,8.983377,1.491469,nan,30.16875,477.78,0,-115.3799,-9.33,,nan,nan,nan
4,3.988,4,8.980012,1.503208,nan,30.92625,477.5763,0,-115.3799,-9.33,,nan,nan,nan
4,4.088,4,8.983631,1.477816,nan,31.69125,477.6062,0,-115.38,-9.33,,nan,nan,nan
4,4.188,4,8.984749,1.503189,nan,32.45875,477.7175,0,-115.38,-9.33,,nan,nan,nan
4,4.288,4,8.981991,1.491634,nan,33.2325,477.0425,0,-115.38,-9.33,,nan,nan,nan
4,4.388,4,8.982774,1.498629,nan,33.99,477.6725,0,-115.3799,-9.33,,nan,nan,nan
4,4.488,4,8.979733,1.5083,nan,34.93375,477.5612,0,-115.38,-9.33,,nan,nan,nan
4,4.588,4,8.981015,1.485406,nan,35.70125,477.5975,0,-115.3801,-9.33,,nan,nan,nan
4,4.688,4,8.980461,1.501828,nan,36.47375,477.4962,0,-115.38,-9.33,,nan,nan,nan
4,4.788,4,8.985508,1.496093,nan,37.22875,477.5075,0,-115.3801,-9.33,,nan,nan,nan
4,4.888,4,8.984046,1.504387,nan,37.99375,477.8537,0,-115.3801,-9.33,,nan,nan,nan
4,4.988,4,8.978929,1.510391,nan,38.76125,477.4688,0,-115.3801,-9.33,,nan,nan,nan
4,5.088,4,8.982508,1.488887,nan,39.5375,477.0512,0,-115.3803,-9.33,,nan,nan,nan
4,5.188,4,8.985867,1.516714,nan,40.5,477.6425,0,-115.3803,-9.33,,nan,nan,nan
4,5.288,4,8.982264,1.498902,nan,41.27375,477.5262,0,-115.3803,-9.33,,nan,nan,nan
4,5.388,4,8.98208,1.511453,nan,42.04,477.275,0,-115.3804,-9.33,,nan,nan,nan
4,5.488,4,8.981201,1.513035,nan,42.81375,477.6625,0,-115.3804,-9.33,,nan,nan,nan
