Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_3N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.X Position (mm),XYZ.Z Position (mm),RTC.Temperature (°C),
4,0.148,4,2.999591,0.4995558,0.1665413,96.41625,0.09375,-9.33,0,-116.3755,25.1,
4,0.248,4,3.014616,0.4706082,0.1561088,114.9075,0.2725,-9.33,0,-116.3757,25.1,
4,0.348,4,3.022158,0.4786001,0.1583637,118.6337,0.46125,-9.33,0,-116.3757,25.1,
4,0.448,4,3.018164,0.4586089,0.1519496,119.2313,0.65125,-9.33,0,-116.3755,25.1,
4,0.548,4,3.005368,0.4880794,0.1624025,119.0825,0.8875,-9.33,0,-116.3754,25.1,
4,0.648,4,3.002646,0.4296613,0.1430942,119.1613,1.08,-9.33,0,-116.3754,25,
4,0.748,4,3.003117,0.421192,0.1402516,119.785,1.2675,-9.33,0,-116.3753,25,
4,0.848,4,3.011823,0.4307102,0.1430065,119.55,1.45625,-9.33,0,-116.3754,25,
4,0.948,4,3.009628,0.420549,0.1397345,119.385,1.64875,-9.33,0,-116.3754,25,
4,1.048,4,2.99651,0.4368154,0.1457747,119.1575,1.84125,-9.33,0,-116.3755,25,
4,1.148,4,2.997491,0.404708,0.1350156,119.3,2.08,-9.33,0,-116.3755,25,
4,1.248,4,3.001554,0.4195618,0.1397815,119.7787,2.2725,-9.33,0,-116.3755,25,
4,1.348,4,3.012347,0.423712,0.1406585,119.2275,2.46,-9.33,0,-116.3753,25,
4,1.448,4,3.006693,0.42177,0.140277,119.2437,2.65,-9.33,0,-116.3753,25,
4,1.548,4,2.994157,0.4355392,0.145463,119.1175,2.84,-9.33,0,-116.3754,25,
4,1.648,4,2.994104,0.4095727,0.1367931,119.1562,3.07625,-9.33,0,-116.3756,25,
4,1.748,4,2.996643,0.4196819,0.1400507,119.7225,3.26875,-9.33,0,-116.3756,25,
4,1.848,4,3.009393,0.4246148,0.1410965,119.355,3.45875,-9.33,0,-116.3756,25,
4,1.948,4,3.003337,0.4226339,0.1407214,119.165,3.6475,-9.33,0,-116.3756,25,
4,2.048,4,2.993262,0.43576,0.1455803,119.0487,3.85375,-9.33,0,-116.3757,25,
4,2.148,4,2.993176,0.4171976,0.139383,119.6787,4.045,-9.33,0,-116.3756,25,
4,2.248,4,2.994287,0.4260956,0.1423029,119.7712,4.235,-9.33,0,-116.3756,25,
4,2.348,4,3.008015,0.4285929,0.1424836,119.2188,4.4725,-9.33,0,-116.3755,25,
4,2.448,4,3.001399,0.42467,0.1414907,119.3137,4.66375,-9.33,0,-116.3754,25,
4,2.548,4,2.991835,0.4396536,0.1469512,118.925,4.85375,-9.33,0,-116.3754,25,
4,2.648,4,2.990144,0.4216791,0.141023,119.8063,5.04,-9.33,0,-116.3753,25,
4,2.748,4,2.991534,0.4305998,0.1439395,119.6875,5.2325,-9.33,0,-116.3754,25,
4,2.848,4,3.006739,0.421861,0.1403051,119.225,5.42375,-9.33,0,-116.3754,25,
4,2.948,4,3.001495,0.4268945,0.1422273,119.2762,5.66125,-9.33,0,-116.3754,25,
4,3.048,4,2.990726,0.4414397,0.1476029,118.9487,5.8475,-9.33,0,-116.3753,25,
4,3.148,4,2.989302,0.419013,0.1401708,119.8325,6.039999,-9.33,0,-116.3753,25,
4,3.248,4,2.990887,0.430655,0.143989,119.2962,6.22875,-9.33,0,-116.3755,25,
4,3.348,4,3.008984,0.4272387,0.1419877,119.365,6.42125,-9.33,0,-116.3758,25,
4,3.448,4,3.004133,0.4210166,0.1401458,119.2113,6.65625,-9.33,0,-116.3759,25,
