Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius
Rotary_3N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.X Position (mm),XYZ.Z Position (mm),RTC.Temperature (°C),,DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step)
4,0.148,4,2.999591,0.4995558,nan,96.41625,0,-9.33,0,-116.3755,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,0.248,4,3.014616,0.4706082,nan,114.9075,0.17875,-9.33,0,-116.3757,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,0.348,4,3.022158,0.4786001,nan,118.6337,0.3675,-9.33,0,-116.3757,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,0.448,4,3.018164,0.4586089,nan,119.2313,0.5575,-9.33,0,-116.3755,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,0.548,4,3.005368,0.4880794,nan,119.0825,0.79375,-9.33,0,-116.3754,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,0.648,4,3.002646,0.4296613,nan,119.1613,0.98625,-9.33,0,-116.3754,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,0.748,4,3.003117,0.421192,nan,119.785,1.17375,-9.33,0,-116.3753,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,0.848,4,3.011823,0.4307102,nan,119.55,1.3625,-9.33,0,-116.3754,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,0.948,4,3.009628,0.420549,nan,119.385,1.555,-9.33,0,-116.3754,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,1.048,4,2.99651,0.4368154,nan,119.1575,1.7475,-9.33,0,-116.3755,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,1.148,4,2.997491,0.404708,nan,119.3,1.98625,-9.33,0,-116.3755,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,1.248,4,3.001554,0.4195618,nan,119.7787,2.17875,-9.33,0,-116.3755,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,1.348,4,3.012347,0.423712,nan,119.2275,2.36625,-9.33,0,-116.3753,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,1.448,4,3.006693,0.42177,nan,119.2437,2.55625,-9.33,0,-116.3753,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,1.548,4,2.994157,0.4355392,nan,119.1175,2.74625,-9.33,0,-116.3754,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,1.648,4,2.994104,0.4095727,nan,119.1562,2.9825,-9.33,0,-116.3756,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,1.748,4,2.996643,0.4196819,nan,119.7225,3.175,-9.33,0,-116.3756,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,1.848,4,3.009393,0.4246148,nan,119.355,3.365,-9.33,0,-116.3756,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,1.948,4,3.003337,0.4226339,nan,119.165,3.55375,-9.33,0,-116.3756,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,2.048,4,2.993262,0.43576,nan,119.0487,3.76,-9.33,0,-116.3757,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,2.148,4,2.993176,0.4171976,nan,119.6787,3.95125,-9.33,0,-116.3756,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,2.248,4,2.994287,0.4260956,nan,119.7712,4.14125,-9.33,0,-116.3756,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,2.348,4,3.008015,0.4285929,nan,119.2188,4.37875,-9.33,0,-116.3755,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,2.448,4,3.001399,0.42467,nan,119.3137,4.57,-9.33,0,-116.3754,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,2.548,4,2.991835,0.4396536,nan,118.925,4.76,-9.33,0,-116.3754,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,2.648,4,2.990144,0.4216791,nan,119.8063,4.94625,-9.33,0,-116.3753,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,2.748,4,2.991534,0.4305998,nan,119.6875,5.13875,-9.33,0,-116.3754,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,2.848,4,3.006739,0.421861,nan,119.225,5.33,-9.33,0,-116.3754,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,2.948,4,3.001495,0.4268945,nan,119.2762,5.5675,-9.33,0,-116.3754,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,3.048,4,2.990726,0.4414397,nan,118.9487,5.75375,-9.33,0,-116.3753,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,3.148,4,2.989302,0.419013,nan,119.8325,5.946249,-9.33,0,-116.3753,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,3.248,4,2.990887,0.430655,nan,119.2962,6.135,-9.33,0,-116.3755,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,3.348,4,3.008984,0.4272387,nan,119.365,6.3275,-9.33,0,-116.3758,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,3.448,4,3.004133,0.4210166,nan,119.2113,6.5625,-9.33,0,-116.3759,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,3.548,4,2.99346,0.4463466,nan,118.7725,6.75375,-9.33,0,-116.3758,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,3.648,4,2.990726,0.4184642,nan,119.7462,6.9475,-9.33,0,-116.3756,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,3.748,4,2.990974,0.4257741,nan,119.3987,7.13625,-9.33,0,-116.3756,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,3.848,4,3.009476,0.4200586,nan,119.16,7.32625,-9.33,0,-116.3758,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,3.948,4,3.005458,0.4096181,nan,119.1912,7.52,-9.33,0,-116.3758,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,4.048,4,2.993912,0.4352469,nan,119.0525,7.7575,-9.33,0,-116.3757,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,4.148,4,2.994476,0.4105209,nan,119.9162,7.94875,-9.33,0,-116.376,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,4.248,4,2.99207,0.4209322,nan,119.5712,8.139999,-9.33,0,-116.3761,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,4.348,4,3.011631,0.4098844,nan,119.2675,8.3325,-9.33,0,-116.3762,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,4.448,4,3.008349,0.4119433,nan,118.9188,8.527499,-9.33,0,-116.3764,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,4.548,4,2.997773,0.4313272,nan,119.19,8.71375,-9.33,0,-116.3764,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,4.648,4,2.994485,0.4156454,nan,119.5275,8.955,-9.33,0,-116.3762,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,4.748,4,2.99176,0.4219714,nan,119.4088,9.14875,-9.33,0,-116.3762,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,4.848,4,3.012012,0.4181946,nan,119.2875,9.3375,-9.33,0,-116.3764,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,4.948,4,3.008829,0.4072248,nan,118.9775,9.5275,-9.33,0,-116.3765,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,5.048,4,2.996643,0.4334153,nan,119.0925,9.71875,-9.33,0,-116.3763,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,5.148,4,2.99581,0.4127422,nan,119.7863,9.90875,-9.33,0,-116.3763,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,5.248,4,2.991996,0.4163078,nan,119.485,10.14625,-9.33,0,-116.3764,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,5.348,4,3.014477,0.4205717,nan,119.4038,10.335,-9.33,0,-116.3764,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,5.448,4,3.006916,0.4090368,nan,118.9262,10.52875,-9.33,0,-116.3763,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,5.548,4,2.996776,0.4359321,nan,119.34,10.71875,-9.33,0,-116.3764,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,5.648,4,2.99677,0.4124207,nan,119.8,10.90875,-9.33,0,-116.3766,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,5.748,4,2.994141,0.4149342,nan,119.4075,11.14625,-9.33,0,-116.3765,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,5.848,4,3.014517,0.4139535,nan,119.14,11.33875,-9.33,0,-116.3763,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,5.948,4,3.007204,0.4108976,nan,118.8363,11.53,-9.33,0,-116.3763,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,6.048,4,2.998361,0.427781,nan,119.4788,11.71625,-9.33,0,-116.3761,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,6.148,4,2.995785,0.4037728,nan,119.7863,11.90625,-9.33,0,-116.3762,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,6.248,4,2.992999,0.4021458,nan,119.535,12.09625,-9.33,0,-116.3764,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,6.348,4,3.018142,0.4146517,nan,119.3338,12.335,-9.33,0,-116.3765,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,6.448,4,3.008758,0.3961413,nan,119.1512,12.5275,-9.33,0,-116.3765,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,6.548,4,3.003036,0.4341557,nan,119.545,12.71875,-9.33,0,-116.3766,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,6.648,4,2.999281,0.4117582,nan,119.485,12.91375,-9.33,0,-116.3766,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,6.748,4,2.992197,0.4071501,nan,119.2988,13.10375,-9.33,0,-116.3764,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,6.848,4,3.015186,0.422741,nan,119.2375,13.29375,-9.33,0,-116.3765,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,6.948,4,3.009922,0.4014573,nan,118.9112,13.48375,-9.33,0,-116.3767,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,7.048,4,3.000445,0.4393484,nan,119.6025,13.72125,-9.33,0,-116.3767,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,7.148,4,2.998671,0.4131676,nan,119.7213,13.9125,-9.33,0,-116.3767,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,7.248,4,2.995544,0.4097383,nan,119.4738,14.1025,-9.33,0,-116.3767,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,7.348,4,3.019818,0.4108846,nan,119.2125,14.295,-9.33,0,-116.3769,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,7.448,4,3.012108,0.4021685,nan,119.0375,14.4875,-9.33,0,-116.3769,25,,nan,nan,nan,nan,nan,nan,nan,nan
