Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,,Lubricant
Rotary_3N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,,Vaseline
Step, Timestamp, RecipeStep, DAQ.COF (),DAQ.Fx (N),DAQ.Fz (N),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.X Position (mm),RTC.Temperature (°C),
4,0.166,4,0.1937144,0.5838819,3.014139,408.1775,1946.257,-9.33,-116.3752,0,25.4,
4,0.266,4,0.1680441,0.5070541,3.017387,460.7975,1947.01,-9.33,-116.3749,0,25.4,
4,0.366,4,0.1624305,0.4890796,3.011009,473.9563,1947.792,-9.33,-116.3749,0,25.4,
4,0.466,4,0.1620162,0.4877092,3.01025,476.8137,1948.57,-9.33,-116.3749,0,25.4,
4,0.566,4,0.1632023,0.4904208,3.004987,476.9987,1949.354,-9.33,-116.3749,0,25.4,
4,0.666,4,0.1629701,0.4900473,3.006978,477.4937,1950.15,-9.33,-116.3749,0,25.4,
4,0.766,4,0.1656763,0.4982925,3.007628,477.3775,1950.924,-9.33,-116.375,0,25.4,
4,0.866,4,0.1683365,0.5059111,3.005355,477.13,1951.694,-9.33,-116.375,0,25.4,
4,0.966,4,0.1681886,0.5051609,3.003538,477.4437,1952.672,-9.33,-116.3748,0,25.4,
4,1.066,4,0.1697913,0.5094377,3.000376,477.4575,1953.269,-9.33,-116.3748,0,25.4,
4,1.166,4,0.1687946,0.5067651,3.002259,477.605,1954.25,-9.33,-116.3748,0,25.4,
4,1.266,4,0.1699433,0.510347,3.003042,477.31,1955.016,-9.33,-116.3745,0,25.4,
4,1.366,4,0.1699768,0.5101911,3.001534,477.3463,1955.809,-9.33,-116.3745,0,25.4,
4,1.466,4,0.1703645,0.5112985,3.001203,477.6875,1956.59,-9.33,-116.3744,0,25.4,
4,1.566,4,0.1706145,0.5114154,2.997491,477.4075,1957.376,-9.33,-116.3741,0,25.4,
4,1.666,4,0.1690681,0.5070606,2.999151,477.33,1958.144,-9.33,-116.3741,0,25.4,
4,1.766,4,0.1701807,0.5106035,3.000361,477.5137,1958.935,-9.33,-116.3742,0,25.4,
4,1.866,4,0.169823,0.5091487,2.998113,477.5063,1959.715,-9.33,-116.3742,0,25.4,
4,1.966,4,0.1704354,0.5106912,2.996392,477.1975,1960.49,-9.33,-116.3744,0,25.4,
4,2.066,4,0.170448,0.510451,2.99476,477.5475,1961.255,-9.33,-116.3745,0,25.4,
4,2.166,4,0.1683676,0.504573,2.996853,477.6125,1962.055,-9.33,-116.3745,0,25.4,
4,2.266,4,0.1698873,0.5094864,2.998968,477.5975,1962.836,-9.33,-116.3746,0,25.4,
4,2.366,4,0.1693992,0.5081355,2.999634,477.285,1963.621,-9.33,-116.3745,0,25.4,
4,2.466,4,0.1697092,0.5087622,2.997847,477.2987,1964.594,-9.33,-116.3745,0,25.4,
4,2.566,4,0.1700254,0.5094637,2.996398,477.5287,1965.374,-9.33,-116.3745,0,25.4,
4,2.666,4,0.1684402,0.5049887,2.99803,477.5925,1966.155,-9.33,-116.3745,0,25.4,
4,2.766,4,0.1695153,0.5084603,2.999494,477.3087,1966.925,-9.33,-116.3746,0,25.4,
4,2.866,4,0.1689536,0.5064014,2.99728,477.5675,1967.711,-9.33,-116.3747,0,25.4,
4,2.966,4,0.169499,0.5077751,2.995742,477.7187,1968.494,-9.33,-116.3745,0,25.4,
4,3.066,4,0.1693061,0.5070379,2.994801,477.4675,1969.281,-9.33,-116.3747,0,25.5,
4,3.166,4,0.1681293,0.5037677,2.996311,477.3825,1970.049,-9.33,-116.3748,0,25.5,
4,3.266,4,0.1686442,0.5056577,2.99837,477.49,1970.847,-9.33,-116.3749,0,25.5,
4,3.366,4,0.1679109,0.5036801,2.999686,477.515,1971.63,-9.33,-116.3747,0,25.5,
