Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_9N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.COF (),DAQ.Fx (N),DAQ.Fz (N),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.X Position (mm),RTC.Temperature (°C),
4,0.185,4,0.2005376,1.806136,9.006469,109.375,4596.007,-9.33,-117.2005,0,25.8,
4,0.285,4,0.1884867,1.695794,8.996889,117.28,4596.191,-9.33,-117.2005,0,25.8,
4,0.385,4,0.1764739,1.585794,8.985997,118.5287,4596.428,-9.33,-117.2004,0,25.8,
4,0.485,4,0.186187,1.677449,9.009487,119.2712,4596.621,-9.33,-117.2005,0,25.8,
4,0.585,4,0.1738499,1.56778,9.018008,119.265,4596.815,-9.33,-117.2004,0,25.7,
4,0.685,4,0.1634714,1.470653,8.99639,119.4238,4597.005,-9.33,-117.2004,0,25.7,
4,0.785,4,0.154762,1.389687,8.979513,119.5375,4597.195,-9.33,-117.2004,0,25.7,
4,0.885,4,0.143245,1.285377,8.973271,119.0225,4597.389,-9.33,-117.2005,0,25.7,
4,0.985,4,0.1510011,1.358126,8.994143,119.3338,4597.583,-9.33,-117.2008,0,25.7,
4,1.085,4,0.1385286,1.247761,9.007249,119.1938,4597.822,-9.33,-117.2009,0,25.7,
4,1.185,4,0.140942,1.268045,8.996926,119.8775,4598.01,-9.33,-117.201,0,25.7,
4,1.285,4,0.1361712,1.2225,8.977665,119.2937,4598.205,-9.33,-117.2008,0,25.7,
4,1.385,4,0.1274741,1.143814,8.972913,119.4687,4598.398,-9.33,-117.2007,0,25.7,
4,1.485,4,0.1369787,1.231706,8.991954,119.4125,4598.591,-9.33,-117.2007,0,25.7,
4,1.585,4,0.1240913,1.117215,9.003162,119.3075,4598.781,-9.33,-117.2005,0,25.7,
4,1.685,4,0.1296974,1.166228,8.991914,119.565,4598.974,-9.33,-117.2004,0,25.7,
4,1.785,4,0.1277101,1.146114,8.974337,119.225,4599.208,-9.33,-117.2003,0,25.7,
4,1.885,4,0.1219365,1.093492,8.967714,119.1912,4599.4,-9.33,-117.2003,0,25.7,
4,1.985,4,0.1311559,1.178659,8.986706,119.4312,4599.588,-9.33,-117.2005,0,25.7,
4,2.085,4,0.1204849,1.084295,8.999425,119.4337,4599.784,-9.33,-117.2005,0,25.7,
4,2.185,4,0.1234848,1.110184,8.990452,119.5462,4599.976,-9.33,-117.2003,0,25.7,
4,2.285,4,0.1225809,1.09973,8.971463,119.3587,4600.166,-9.33,-117.2003,0,25.7,
4,2.385,4,0.1168116,1.047687,8.96903,119.1438,4600.41,-9.33,-117.2006,0,25.7,
4,2.485,4,0.1247159,1.120595,8.985186,119.4363,4600.605,-9.33,-117.2008,0,25.7,
4,2.585,4,0.115297,1.03763,8.999619,119.3625,4600.795,-9.33,-117.2011,0,25.7,
4,2.685,4,0.1189853,1.070172,8.994152,119.54,4600.984,-9.33,-117.2011,0,25.7,
4,2.785,4,0.1195318,1.07265,8.973761,119.4825,4601.176,-9.33,-117.201,0,25.8,
4,2.885,4,0.1136273,1.019249,8.970107,119.2212,4601.369,-9.33,-117.2011,0,25.8,
4,2.985,4,0.1242208,1.116354,8.986852,119.5362,4601.563,-9.33,-117.2012,0,25.8,
4,3.085,4,0.114785,1.033093,9.000245,119.2513,4601.806,-9.33,-117.2013,0,25.8,
4,3.185,4,0.1176637,1.058339,8.994601,119.715,4602.001,-9.33,-117.2012,0,25.8,
4,3.285,4,0.1191034,1.068938,8.974878,119.2113,4602.195,-9.33,-117.2012,0,25.8,
4,3.385,4,0.1127287,1.011228,8.970461,119.5187,4602.389,-9.33,-117.2012,0,25.8,
4,3.485,4,0.1221158,1.097123,8.984282,119.275,4602.581,-9.33,-117.2013,0,25.8,
4,3.585,4,0.1135127,1.021711,9.000853,119.6988,4602.775,-9.33,-117.2015,0,25.8,
4,3.685,4,0.1169985,1.052454,8.995453,119.4063,4602.965,-9.33,-117.2014,0,25.8,
4,3.785,4,0.1183328,1.061979,8.97451,119.2262,4603.154,-9.33,-117.2014,0,25.8,
4,3.885,4,0.1133173,1.016684,8.972006,119.2725,4603.347,-9.33,-117.2015,0,25.8,
4,3.985,4,0.1217752,1.094229,8.98565,119.4262,4603.589,-9.33,-117.2018,0,25.8,
4,4.085,4,0.1140267,1.02654,9.002626,119.365,4603.779,-9.33,-117.2021,0,25.8,
4,4.185,4,0.1164084,1.047703,9.000237,119.5063,4603.971,-9.33,-117.2021,0,25.8,
4,4.285,4,0.1176847,1.056874,8.980557,119.035,4604.172,-9.33,-117.2021,0,25.8,
4,4.385,4,0.1116962,1.002866,8.978514,119.5238,4604.365,-9.33,-117.2023,0,25.8,
4,4.485,4,0.1206648,1.084529,8.987947,119.3612,4604.555,-9.33,-117.2023,0,25.8,
4,4.585,4,0.1115872,1.005103,9.007336,119.2288,4604.79,-9.33,-117.2023,0,25.8,
4,4.685,4,0.1124657,1.01252,9.002927,119.6062,4604.982,-9.33,-117.2023,0,25.8,
4,4.785,4,0.1168353,1.049454,8.982331,119.1438,4605.178,-9.33,-117.2025,0,25.8,
4,4.885,4,0.111161,0.9981051,8.978913,119.4437,4605.366,-9.33,-117.2026,0,25.8,
