Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_9N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.COF (),DAQ.Fx (N),DAQ.Fz (N),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.X Position (mm),RTC.Temperature (°C),
4,0.155,4,0.1693324,1.528593,9.027175,389.1212,0.405,-9.33,-117.2042,0,25.9,
4,0.255,4,0.1386083,1.250064,9.01868,456.6437,1.115,-9.33,-117.2042,0,25.9,
4,0.355,4,0.1351793,1.217424,9.005992,473.2475,1.86375,-9.33,-117.2041,0,25.9,
4,0.455,4,0.138125,1.243498,9.002694,476.7313,2.82,-9.33,-117.2038,0,25.9,
4,0.555,4,0.1357664,1.222081,9.00135,477.2987,3.59,-9.33,-117.2037,0,25.9,
4,0.655,4,0.1393311,1.254133,9.001097,477.425,4.35875,-9.33,-117.2036,0,25.9,
4,0.755,4,0.1410985,1.269402,8.99657,477.165,5.115,-9.33,-117.2039,0,25.9,
4,0.855,4,0.1426533,1.283162,8.994969,477.3838,5.8725,-9.33,-117.2039,0,25.9,
4,0.955,4,0.1428345,1.28498,8.996288,477.6762,6.6375,-9.33,-117.2039,0,25.9,
4,1.055,4,0.1395735,1.255909,8.998192,477.2612,7.395,-9.33,-117.2042,0,25.9,
4,1.155,4,0.141713,1.275115,8.997868,477.1125,8.37,-9.33,-117.2042,0,25.9,
4,1.255,4,0.1404531,1.263196,8.993728,477.4025,9.12875,-9.33,-117.2041,0,25.9,
4,1.355,4,0.1392158,1.251811,8.991877,477.3862,9.87625,-9.33,-117.2041,0,25.9,
4,1.455,4,0.1393943,1.253711,8.993991,477.7175,10.645,-9.33,-117.2042,0,25.9,
4,1.555,4,0.1374056,1.236061,8.995712,477.4337,11.585,-9.33,-117.2042,0,25.9,
4,1.655,4,0.1401586,1.260651,8.994458,477.7112,12.35125,-9.33,-117.2043,0,25.9,
4,1.755,4,0.1378856,1.239666,8.990539,477.495,13.11625,-9.33,-117.2042,0,25.9,
4,1.855,4,0.1376854,1.237795,8.990027,477.2162,13.86875,-9.33,-117.2042,0,25.9,
4,1.955,4,0.1371269,1.233047,8.992019,477.515,14.62625,-9.33,-117.2042,0,25.9,
